xDom,yDom,class
55.0264798793,67.8666550599,A
59.4843755710,44.5566197573,A
37.7463105047,71.7334249497,A
66.9208384827,47.8109746539,A
29.3423419791,29.7662264379,A
32.5227216121,73.1901103154,A
62.0664072198,50.5500626665,A
49.1169120623,64.0315600786,A
47.4425352447,21.9001700362,A
37.8444685108,76.3377066446,A
52.3217543307,80.7303586057,A
74.9078497139,60.7571781092,A
42.6210307093,20.3700177535,A
47.3789555159,45.2248029422,A
61.1026684079,65.4008637818,A
59.7983074476,36.1422152062,A
67.3569095633,48.7073179584,A
37.9314619150,52.9739548907,A
67.7273608225,42.3334105811,A
64.8450891563,37.3655848915,A
44.8733830908,72.3520782845,A
57.1303091517,49.0017314723,A
49.0807429796,39.4975200077,A
67.9582447956,45.9619762081,A
38.6802703885,36.7749109764,A
72.0834246313,57.3786625345,A
28.8346718468,50.4223565586,A
47.4918763601,44.8052360101,A
45.4138877118,49.1853087453,A
48.6655951674,76.6022398820,A
67.3281499613,44.1436491920,A
72.6488733382,51.1666979655,A
56.7394135911,78.3040655570,A
30.2919240285,41.2515541580,A
48.8004206379,65.0736726875,A
62.3074445997,28.7607509960,A
33.4839329135,32.4485413329,A
41.4842053607,51.5622757020,A
24.4751312419,38.6334461145,A
29.0361498976,31.3727077332,A
24.4417138406,55.7290485185,A
68.9445661680,34.4731307615,A
72.5038590109,30.9980485692,A
52.7690606346,38.7275844628,A
59.7409752876,62.4109023971,A
75.5118489866,33.3290524319,A
51.3905755285,48.7976079249,A
58.6227070966,72.7640933194,A
41.8651894968,79.4142673612,A
66.6455635572,68.2883861603,A
79.6179000296,41.9600456908,A
39.2088787850,71.8730164031,A
69.4335460050,54.5591894411,A
38.5987874149,46.8960214897,A
46.9423411179,59.6517778511,A
27.1468108809,53.8086485600,A
53.9425546707,78.9016748608,A
80.9035753013,52.1265398059,A
58.6915262515,57.8000439166,A
28.2064600855,48.7650743438,A
47.6938317266,50.9455274926,A
55.9471900287,79.9949058290,A
32.8685337183,34.0749074579,A
68.5936963643,43.9139129415,A
60.3679988718,61.5758038990,A
42.6325947734,79.7152063482,A
30.2188748012,37.9122966535,A
58.6211783516,36.8770366986,A
42.1815164504,66.0639699889,A
47.8445468639,67.7827822910,A
59.4755449688,70.7726600530,A
73.0190200615,59.0926874908,A
33.5727992150,66.6069261614,A
63.0476406399,56.6211374295,A
75.2049147910,67.6940083565,A
78.9912506561,44.5670970097,A
75.2035727663,39.2798089511,A
65.3995800904,75.0781611212,A
33.8478579207,70.4283511559,A
69.1148151123,27.7334069058,A
56.6730674732,71.8081256744,A
77.4866743513,56.0737261632,A
43.2070097994,38.9945357241,A
51.3813634629,49.5141287804,A
22.9438955892,37.0278616571,A
59.3926764786,47.3505140006,A
76.1174904238,38.6909029463,A
71.9206401539,59.2585629947,A
20.0615654658,54.9501333592,A
47.7411555460,79.3515864071,A
43.9598287488,52.3850477731,A
35.5461951084,27.0953864811,A
39.3638960279,68.7179296590,A
42.3124417263,30.2582941578,A
43.4299802488,21.7197574331,A
55.5057068481,42.9506261539,A
67.4342360437,72.4666940752,A
39.8532371740,45.8231735254,A
66.6509893072,32.6311847864,A
28.6387437904,71.1961006031,A
