xDom,yDom,class
51.4388475048,80.7017576650,A
61.7618094241,56.7034184162,A
28.6448117184,48.0032978978,A
34.7655096606,38.6180638320,A
23.5776995799,47.5174424976,A
73.6038439367,29.8530044341,A
49.8546290336,68.0152030030,A
67.6915213511,62.0641956854,A
23.9466679666,32.2027397699,A
47.0200058983,55.3626216340,A
65.5835969236,66.5660849648,A
70.3571830386,26.7635008101,A
39.5306617435,83.1580193383,A
40.7882928640,78.1931464193,A
55.9712292073,77.3813896043,A
41.3948562035,59.1853984324,A
67.7005837142,21.5389417406,A
46.8067603455,75.0556902969,A
27.1283982300,45.9876417586,A
44.6318041464,40.7617341098,A
61.0882696596,38.8994500769,A
63.7617153461,54.2989045623,A
60.0251246792,41.9486006398,A
76.6256128756,63.6266381328,A
66.6980851613,50.3642329404,A
51.2805547998,43.1180492408,A
66.8438991931,60.9941452242,A
21.3723846399,43.9747613927,A
79.7858415923,41.5081990564,A
42.7263230585,63.4050068422,A
82.7055535018,58.8857758279,A
65.0909798173,34.9475740396,A
40.3050885809,68.8225046142,A
59.8552321645,70.7453721015,A
21.9982502987,66.2128383319,A
48.9521697571,49.0462177053,A
54.6255068740,80.6040546660,A
54.7451310739,78.6498549535,A
73.3680151433,58.8532899961,A
65.9964017468,27.2367435142,A
24.9574956841,44.8342534674,A
64.1175688232,25.5598922573,A
79.8627758029,46.4654560023,A
49.6785773820,69.6189742475,A
76.4182739713,57.8470350084,A
52.9520986156,15.6733658454,A
39.7951742946,56.6957877951,A
31.4194758996,62.6265686608,A
58.8192365742,26.8649934020,A
29.2191445474,58.4624905535,A
39.7260308271,31.2338257041,A
27.1543272309,45.2888456188,A
60.0745504178,44.5803834506,A
73.8037070269,40.3556497077,A
73.3958702009,28.5953815766,A
36.4585726543,56.7927974597,A
33.8881380444,61.3363187005,A
46.4742421153,74.2749702225,A
28.9826073617,30.6830715266,A
21.5902861365,51.1152418268,A
21.7905896929,32.0664677018,A
32.6132437889,61.1777933028,A
18.9191326614,60.9056221971,A
54.8862154556,42.9082360887,A
20.8825769947,52.8693631495,A
71.2337968742,58.4337232209,A
78.8292211768,66.0971643516,A
37.0771836271,45.3492234030,A
67.8953666851,64.3022621897,A
71.9226123081,42.1751787534,A
37.7052691491,36.6350902232,A
37.8620734344,46.9635558972,A
65.8023780529,63.4446505542,A
28.2878433512,58.9002244746,A
49.2756441306,73.1369457365,A
45.3493978107,47.2216566305,A
57.0127347312,60.2173331584,A
37.1201611989,63.5156196291,A
42.0199467925,74.0176434996,A
35.4891631437,52.8714878096,A
46.3027398059,42.8045273817,A
23.9280519454,55.5702859206,A
73.5503210454,41.6228497529,A
55.3544517454,46.7154595569,A
81.9557719873,47.1124087821,A
20.3344713039,67.3687459697,A
62.9001949386,75.0874191133,A
42.7681715465,68.5287852108,A
53.3286573597,26.2823697508,A
60.1817271779,57.9185873940,A
71.0749783440,51.8772358681,A
51.8147945288,21.1597055241,A
43.1425281781,18.2471523883,A
48.0232916184,81.2364338901,A
80.5989052978,37.3376081732,A
81.2681056196,42.1994479052,A
43.0126546541,84.0060158919,A
75.7310434424,50.1249053075,A
49.7491882635,20.1768109039,A
58.3649582252,51.4855736502,A
79.2235287682,57.4975622362,A
81.7519627058,51.7570212089,A
44.6128739503,75.7511241274,A
63.3436608264,45.3237313704,A
30.2003185265,62.7512437621,A
76.9132437489,48.2197208528,A
35.0322975866,42.0290000950,A
36.3998925194,43.9693174937,A
63.6244445290,27.4797181190,A
77.0625698366,51.8493453195,A
29.7828615983,69.2572505750,A
26.9930035561,26.5390200894,A
37.7463816817,29.1532090371,A
60.2835389570,40.2504132409,A
74.5951098303,61.8268360839,A
79.3892870146,36.6297179836,A
71.9007459756,41.4174064439,A
61.2865495018,20.9831653451,A
66.9837073761,48.6434260031,A
48.0746452971,23.1443797878,A
26.3522805185,57.2231341374,A
53.8499184467,46.9167693164,A
46.3364408662,17.5583063363,A
72.6726344913,30.6194632436,A
30.8985731501,68.8083523238,A
21.8604634285,30.5479278342,A
56.4125011244,33.5435865097,A
62.7902394636,49.1961616416,A
62.1665352941,68.1394806876,A
78.1412275947,39.0323164744,A
