xDom,yDom,class
50.6635403738,73.8501704950,A
29.2213429447,44.1620048322,A
38.4033387705,59.6015459045,A
50.8920382109,78.7940907234,A
67.5377204153,64.7548803260,A
42.6037887655,76.5025985815,A
44.8677658199,62.8769631752,A
67.6002258357,61.5186713316,A
59.5837056430,48.2234723987,A
60.1198200722,26.5356906197,A
29.0275517726,57.4891077983,A
52.1735320944,76.8209291003,A
32.2103589699,69.2726544916,A
56.7391099237,33.5700254403,A
75.7551886917,45.3351874624,A
55.9924119886,30.9513660436,A
69.7505111333,66.4705763098,A
59.0319468620,67.2875820109,A
75.7898825674,61.8025939464,A
35.2098933713,49.5004039783,A
35.4111907402,80.1964925466,A
22.4313112286,33.1734571580,A
39.7649444665,19.5157080964,A
38.3978342982,75.0452586613,A
16.7158742063,56.7379921385,A
23.7804043406,61.5913129290,A
19.3637302681,41.5253524046,A
41.0237681129,52.5448280798,A
42.0187712336,48.0174374898,A
26.3482272920,53.7330210005,A
52.9461404876,39.9500137365,A
41.0399128802,75.4648827551,A
25.6904250512,64.9130334536,A
24.6420270477,70.9833569334,A
72.0562176519,37.8339338448,A
48.7786056964,81.0251497066,A
58.0971458078,40.3431334224,A
41.0018016245,27.0249915445,A
50.1720555218,48.8716657466,A
47.1287436454,65.0668712829,A
72.7856767013,35.6707496295,A
57.2346353491,43.7387605468,A
57.3250479827,26.0320762711,A
76.7305349317,32.3142197440,A
38.5850433881,65.2358593447,A
75.2863422721,67.7594022315,A
61.9251000235,38.2284161849,A
70.1280023493,39.4709264696,A
29.3090343973,35.4363227868,A
70.8269015266,27.1861977426,A
69.9120660621,42.0915194763,A
80.0339553947,46.0293940323,A
31.3486275288,36.5560501759,A
64.4919599025,67.9199411853,A
48.7650139465,48.6139578642,A
72.0733994072,46.9447209271,A
47.9994888442,70.8938282647,A
45.4766420718,48.2675260941,A
46.4147373614,74.0393940550,A
72.7059271277,68.5159651204,A
26.0739973562,43.3641132327,A
29.5170176298,67.7566318943,A
26.8134518445,38.6517205080,A
54.7779548863,61.9942874306,A
69.1843083123,52.1504396892,A
67.1547353123,47.6582344963,A
38.5720254745,66.6923535595,A
23.7437670205,33.2657920936,A
59.4441207077,52.8750237048,A
75.9565945550,71.6095891434,A
55.5175324494,21.7190139622,A
70.0274477054,32.8929347661,A
74.0068039898,69.4665074573,A
60.9960759637,48.9917005818,A
40.7118490159,37.1349015976,A
18.3715683274,40.6711013893,A
49.3935135373,25.4301576061,A
36.4546204937,44.3010855629,A
73.6012436684,62.2506062934,A
70.4976436005,29.5821583973,A
63.4234615319,59.9327703618,A
54.9324398022,20.9949831343,A
72.9700286008,51.3380334277,A
48.6486092461,74.7794583700,A
39.5341419228,39.4840665723,A
32.2099297049,43.9999309568,A
45.2425670027,49.1118040895,A
25.4210653556,31.6511863496,A
17.8739933781,44.4840554312,A
40.5588970223,19.9256925394,A
21.8819145085,31.0482669013,A
38.4076053122,48.3641694089,A
48.4883068669,70.6858493866,A
44.9184173182,83.2293763792,A
19.7181075728,58.2946164735,A
26.7753673244,27.4926981619,A
53.2366303577,70.9467175667,A
30.4341037814,74.0833198833,A
42.5699364007,53.1742755413,A
59.3462253275,72.6665466057,A
