xDom,yDom,class
35.2205339801,33.9069898744,A
64.6359613833,71.2072477876,A
46.8004503690,23.1792086456,A
64.4886648110,36.2971694240,A
24.6890889577,32.9638635606,A
55.9509875301,49.9937169393,A
36.7769889149,73.9071058122,A
22.8671907157,60.5290328189,A
60.9159896859,37.9166075972,A
49.0233642138,22.9797457783,A
54.3451558194,71.9652669706,A
32.6260438117,58.9058342830,A
43.2966711904,66.2900715972,A
54.5263669935,77.6980975467,A
45.9065254252,24.8878494358,A
66.7398813008,45.8021156688,A
38.6564508344,38.7832954938,A
62.6056969064,59.6414770164,A
26.0592807166,44.4965404832,A
32.9349295280,62.6369573825,A
65.3189572004,69.9721376245,A
39.0434322065,42.0235973627,A
57.8861158154,48.3302316977,A
38.2043264666,76.5628597686,A
76.0859045358,55.9039464905,A
30.2599638662,39.0048589101,A
40.0606204179,70.2498403004,A
46.5402029758,37.7831579318,A
48.6881783812,63.3892684727,A
56.9707150983,78.2999247312,A
31.6034510697,43.5196733313,A
45.4951572195,65.2990086427,A
81.1025262018,48.0593424031,A
44.1055083526,35.0936315089,A
39.4948622724,36.2917916447,A
49.2009470190,28.6627554039,A
61.3558140851,49.3891101661,A
32.1891971664,25.0217235492,A
77.6024644994,64.2409174623,A
64.1486894911,24.3516172587,A
75.2306179650,66.5484670036,A
63.9744292710,48.7489172700,A
40.6740894846,37.5248706737,A
63.6714578369,64.1881728064,A
60.4265085066,26.6240030488,A
57.4311735616,30.6812159620,A
44.6785351089,62.8292908199,A
39.8105219601,40.1342070627,A
51.4308313380,54.0000654014,A
74.0864611860,38.8451410288,A
48.9051097491,16.3438969597,A
61.3121143418,55.0977518798,A
74.4403691013,65.3487039885,A
59.2586183089,45.8149440324,A
59.2027915668,65.4034063224,A
74.1581122280,28.2250049108,A
69.0800276457,23.7709089985,A
28.5885522085,53.9026331774,A
34.5264931716,31.4527184654,A
72.5429680109,60.3396572751,A
83.9567425841,56.5743105314,A
43.0660801466,29.1100084313,A
65.1455311499,56.1976512604,A
51.4735890007,34.7131140713,A
56.9051596248,32.6386049563,A
48.4861188818,39.3953992106,A
48.1606969105,47.9798172613,A
28.8777700369,58.7410433190,A
27.9368098882,40.4863683706,A
34.4008242072,65.5055439674,A
36.1949364279,65.1265084287,A
48.7222928482,80.9970767919,A
45.4021722385,68.7789217894,A
78.8593840975,29.1535864317,A
37.0965936149,38.8571896548,A
59.0368190455,18.4940517385,A
43.9425072332,61.8208591459,A
24.5868267525,51.0931698242,A
65.5920015312,47.4325933569,A
29.8729515401,73.0320534544,A
22.4640687769,37.0177888847,A
75.2028777928,42.6288621854,A
59.3284029176,46.6290269735,A
35.7391250910,44.6186040880,A
52.1742873676,64.3741334702,A
49.8247820585,51.3207510257,A
26.9342390561,61.2253289232,A
30.1346017063,47.8932416965,A
73.0760835302,53.3023562756,A
55.6352189884,33.5206104868,A
52.4856439463,74.3327971517,A
56.3615052661,56.8430049175,A
59.3117646742,67.0588104603,A
46.3838399656,16.4611085453,A
54.2656600237,54.2791621031,A
44.4708750217,19.9135390126,A
51.5612296839,51.6421509651,A
73.4822947306,66.9061160041,A
48.3949677357,70.5987621112,A
54.7909420643,55.1125259580,A
