xDom,yDom,class
70.6920302189,33.6783962193,A
81.5391143698,21.8228785418,A
93.2238012795,19.1134557192,A
79.2317937457,15.6168419559,A
40.9700412936,49.6656005308,A
95.2081812651,44.8298809647,A
90.4199099337,34.0378205000,A
63.9121161923,10.8487405081,A
60.8046833785,26.5612319285,A
58.4865485550,64.5509978213,A
35.2358457528,50.3182463221,A
88.9660280440,31.0115116840,A
52.0879551079,55.4756998971,A
39.3739746264,72.5009030540,A
50.8048531186,77.1322541842,A
77.1842921674,62.6952837735,A
45.2219124346,68.8819661882,A
37.7757631273,34.4686643955,A
57.0777641434,11.2158908984,A
91.8698798525,50.0629393988,A
51.3528595494,36.5689244847,A
54.9602751255,72.4868124130,A
56.1017676126,52.1956376546,A
39.5466286563,30.8611427400,A
84.1277135276,27.3475079629,A
63.3740073938,49.3384637266,A
50.9275398795,6.1519186369,A
72.1285191067,43.1064606604,A
42.2148335750,69.8260172458,A
33.7237851927,48.2486794642,A
53.3626888738,59.7248553885,A
95.9080931703,25.0798440446,A
80.2170195413,70.9710658774,A
20.8484341234,33.3524753088,A
57.5057133889,57.6605321637,A
76.5128653585,37.2364790030,A
86.4013234435,55.5326791766,A
49.0792905148,64.5034321571,A
74.5034320536,68.2029815972,A
31.5821548718,20.7720129816,A
74.8407111551,15.2484227418,A
27.8256526047,57.9741355422,A
72.1378102762,8.1214573241,A
54.4525560064,64.4018175312,A
59.6522350426,20.6678966649,A
74.6220744422,15.0763564422,A
91.6652234119,35.3656987054,A
75.6596255021,43.8190629313,A
56.7020358942,66.4821068883,A
66.1055830947,26.3960271797,A
81.6870634368,12.2960604690,A
70.0463389397,41.3130438061,A
75.5958865331,35.9628486231,A
39.3274517422,68.9155980326,A
69.4973376024,7.8877382728,A
40.8215291139,53.3611662507,A
79.7231653887,38.3664847966,A
81.7363629749,11.6033734797,A
87.9911466398,17.2303616679,A
91.5421415723,31.8315373535,A
80.4125642011,56.9480513884,A
59.4406995998,62.1180178671,A
76.2904814250,53.3302074160,A
58.7499908121,66.0796556118,A
28.7835607009,17.5556266930,A
77.2320975757,23.0102940553,A
54.3550341139,4.5801611468,A
93.0588293272,41.0230258366,A
66.7299168723,35.4731885261,A
55.5032381750,52.8464305569,A
35.4946789410,24.5178686448,A
46.8837140853,64.9552211371,A
69.4162619330,32.8148452613,A
71.9525047477,47.0866466950,A
49.3739965650,38.8768669776,A
81.5977412432,73.1123045778,A
53.5537059697,27.1383166387,A
88.4177845981,28.8125698489,A
87.4183286407,25.6133291688,A
57.3281215737,69.0584247679,A
63.0514391068,58.9512671677,A
91.8662165773,53.1250898917,A
72.6698225245,17.2718970724,A
75.7437394113,48.8111807292,A
67.6553972334,31.4907438514,A
30.2364152734,51.3458351759,A
80.5153981441,56.8384716307,A
83.9314245453,52.3645864090,A
37.5037572015,15.9151887072,A
53.2016720871,51.7069483808,A
80.3818839232,73.0844520140,A
39.8241471398,8.7468288085,A
79.8515700219,34.6842331926,A
68.4512501058,13.4927758076,A
32.2042039223,50.4132614078,A
47.7037539723,16.1854302870,A
43.8476023398,23.4082780485,A
39.6695719635,8.1318326184,A
91.3469962420,37.3713597824,A
87.9312696728,64.3258011875,A
41.6389172815,50.1713455213,A
53.3053891076,17.7458724534,A
44.5333904116,67.6364448094,A
58.5403026204,75.5801469497,A
47.8575599024,3.8932241288,A
39.0343777820,20.7540651768,A
84.4204443891,56.8072211533,A
56.5855051501,69.4472111581,A
61.7620840549,48.9250570333,A
46.5298971939,38.4805417483,A
27.2074283056,36.6859186595,A
94.1619727585,55.0921945708,A
80.7383150319,67.6553198294,A
70.4434849230,39.0052355945,A
50.5493206019,4.9136186536,A
95.6744159323,34.7979091764,A
87.5311339945,64.9276618500,A
53.3365421131,55.9578986986,A
87.0198854530,28.4643490276,A
76.8452939392,55.1868258468,A
83.9582234157,46.8520298329,A
32.3032673474,39.6581875922,A
73.3101770769,73.6425530021,A
91.9552684190,59.4469777677,A
84.3165381980,67.7614481655,A
79.5540824779,12.3586789462,A
48.4893814509,46.9672283719,A
49.6057399319,41.6873533678,A
68.0614704503,39.2365103762,A
55.4642197447,74.0633521378,A
